"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"1849",0.4167049,0.0026645,0,0.7077441,0,0,0.2062913,0.6425118,0,0.0831123,0.6862274,0.1099887,0.4664127,0.6325591,0,0,0,0.6425829,0.0368419,0.5994891,0.0282086,0.0261743,0.6149647,0.2037812,0.0880929,0.0996525,0.5230531,0.1578259,0.6372867,0.3556864,0.6176357,0.7406149,0,0,0.2972324,0,0,0.0909723,0,0.7419929,0.5223451,0.437185,0.0671052,0,0,0.6262068,0,0,0.0801662,0.8509365
"1851",0,0.012869,0,0.7364206,0,0,0.2223294,0.5865663,0.1741119,0,0.6581518,0,0.6109093,0,0,0.6376587,0.1483764,0.7144708,0,0.548391,0.0246081,0,0,0.5016977,0.0311097,0.0576126,0.5750873,0,0,0,0,0,0,0,0.2117993,0,0,0.0747417,0.6734543,0.5778922,0.6806576,0.3558648,0,0.0170556,0.0191471,0.6137984,0,0.0032655,0,0
"1853",0.4238647,0.0069314,0.792064,0,0,0.7454089,0,0.5220238,0.1944386,0,0.8042277,0.1117486,0.6216838,0,0,0.5615799,0,0.6807297,0.0005572,0.6805274,0,0.0137327,0,0.5051111,0.0001933,0.0841303,0.5339464,0.1247023,0,0,0.5847126,0.5831973,0.0288341,0,0,0,0,0.0604303,0.6817234,0.5226374,0.6298737,0.4329878,0.0137667,0,0,0.5562779,0,0,0,0.406753
"1855",0.3544619,0.0015423,0.7028333,0.655432,0,0.6209641,0,0.5856958,0.1355751,0,0,0,0.5696721,0.620996,0.0523903,0.4917799,0,0,0.0001051,0,0,0.0286551,0.6838806,0.6704587,0,0.0446252,0.4983174,0,0.6533045,0.3464223,0.5917114,0.6544084,0,0.001785,0.1861972,0,0.0010619,0.0590068,0.6989907,0.5737811,0,0.4267465,0.0625674,0,0.0251774,0.716755,0.6132151,0.0025273,0.0957609,0.4182058
"1857",0.3880172,0.00122,0.6017651,0.7205751,0.318727,0.6563009,0.2047565,0.5763171,0,0.0090908,0.7044171,0,0,0,0.057147,0.7025489,0,0,0,0,0,0,0.6569786,0.638032,0.0013093,0.0250999,0,0.0513923,0.6662185,0.4835344,0.6652766,0.5492803,0.0408174,0.001815,0.2061354,0.0110622,0.0001179,0,0.5852256,0.5985703,0.6161711,0.3489902,0,0.0152785,0,0.519591,0.6574481,0,0,0.3315695
"1859",0,0,0,0.7010671,0.3374279,0.5853165,0,0.4885192,0,0.0028486,0.5272074,0.1333399,0.6063407,0,0.079868,0,0.0774742,0,0,0.6812339,0.0375407,0,0,0.6049397,0.0038101,0.0672887,0.5276648,0,0,0,0,0.793288,0.0244412,0.0004199,0.1300252,0.0047602,0,0.0656244,0.8223853,0.6418833,0,0.4800827,0.0431673,0.0166945,0,0.6318558,0.6667936,0,0.1547645,0.442217
"1861",0,0.0173583,0.711872,0,0.228524,0.6215436,0.1413026,0,0.1770471,0.0310196,0,0.1057073,0,0.6022813,0.0742139,0.5269824,0,0.4951981,0,0,0.0159036,0.0412092,0.6498287,0.2727441,0,0.1237717,0.5323032,0,0.5578907,0,0.522377,0,0,8.5e-05,0,0.0177328,0,0,0.5900685,0,0.6780211,0.3663438,0,0,0.014964,0,0.6195977,0.000298,0.1443218,0.7113211
"1863",0,0.0004421,0.6690692,0.6815533,0.2855018,0,0.2613008,0.5627668,0.1378451,0,0,0,0,0,0.0335756,0.6290416,0.6854984,0,0.0278707,0.6142184,0,0.0256993,0,0,0.185879,0,0.4843098,0.1517072,0,0.4261961,0.5927732,0,0.0326256,0.0005518,0,0.0412618,0.0003542,0.0338669,0.699545,0.5784507,0.580902,0,0,0.0112028,0.049197,0,0.6908481,0.0041183,0.0754496,0.6205301
"1865",0.4002519,0,0.6680196,0,0,0.5955819,0.2530461,0,0.1544999,0,0,0,0.5649811,0,0,0,0,0,0,0.6480034,0.02857,0.0431822,0,0,0.1384947,0.1154038,0,0.1704719,0,0.3698372,0.733077,0,0,0.0002359,0.4138616,0.063646,0,0.0606516,0,0.6424964,0.605568,0.5609808,0,0,0.0824204,0,0.7163278,0.0005026,0.0636811,0
"1867",0.419805,0,0.8002384,0,0.225287,0.6231465,0.2392683,0.5750562,0.1904817,0.0383292,0.7541789,0.1340107,0,0,0.075052,0,0,0,0.0280339,0,0,0,0,0.2126149,0.1205415,0,0,0,0.6129804,0,0.7295034,0,0.0464233,2.28e-05,0.4279615,0,0.0003476,0.080056,0,0.690433,0.6285935,0.3017496,0,0.0178536,0,0.5992263,0.7343738,0.0009314,0.0713506,0
"3214",0.4046782,0.0092775,0,0.7176529,0.3217067,0,0,0,0.199777,0,0.6660599,0,0,0,0.074694,0.5288175,0.6601714,0.6151274,0,0.6235616,0.0331824,0,0.6114953,0.2468515,0.1053365,0.1336312,0.5407467,0,0.5505997,0,0.7191771,0.6407774,0,5.23e-05,0.399643,0,0,0,0,0.7738574,0.6139498,0.389497,0,0,0,0,0,0.0031605,0,0.7247018
"3216",0,0.0018561,0,0.5704803,0.1901315,0.019245,0,0,0,0.0491301,0.6214721,0,0.52286,0.6515943,0.0319979,0,0,0.721245,0.0643649,0.6877805,0,0.0201916,0,0,0.1491909,0,0.2558397,0,0.6964072,0.2842896,0.665409,0.5629276,0.0714725,0.0005937,0.4024998,0,0.0001145,0,0.6704881,0.5990769,0.6088,0.2117367,0.0245655,0,0.0481908,0.6745248,0.6780507,0,0,0.6089252
"3218",0,0.0071613,0.048645,0.7137656,0,0,0.0507457,0.6211767,0.0003226,0.0533628,0.630295,0.0710474,0.3857358,0,0,0.564943,0,0.5516369,0.0214226,0.5461189,0,0,0,0,0.1111956,0.1289704,0,0.1276637,0.5968869,0,0.5717292,0,0,2e-07,0.3605055,0.0180692,1.31e-05,0.0338173,0.5435808,0.6622552,0.6241904,0,0.0084453,0.0186683,0.0402125,0,0,0.0024925,0,0.607672
"3220",0,0,0,0.5672203,0.0027906,0,0.0091977,0.7348907,0.0003421,0.0727008,0,0.0880949,0.2512121,0.6471753,0,0.6738993,0.4974112,0,0,0,0.008471,0.0178727,0.6159278,0.1826522,0.1380279,0.0685317,0.3284845,0.1685268,0,0.3968184,0.6630905,0,0.0111293,0.0011874,0,0,2.08e-05,0,0.5725366,0.6605585,0.6236182,0,0.0351118,0,0,0,0,0.0014556,0,0
"3222",0,0.0045724,0.0154812,0.5374595,0,0.008058,0.0008441,0,1.05e-05,0,0,0,0,0.7011774,0,0.5593639,0.464271,0,0,0,0.0001956,0.0256032,0,0.3163277,0.1008869,0.0878965,0.2434044,0,0.7969399,0,0,0,0,0.0014207,0.4925542,0.0190737,0,0,0.7412014,0.6776358,0.6229132,0.2293049,0,0.0256871,0.0104883,0,0.7446674,0.0084089,0,0.5483494
"3224",0,0.0050642,0.0340147,0,0,0.0053343,0,0,0,0.0471527,0.6218771,0.0778298,0,0.6912253,0.0611599,0.6127032,0.4882428,0.5757141,0.0192868,0.6973672,0.0004196,0.0218107,0.6228911,0,0.1040992,0.1200486,0,0.128804,0.6998031,0.3724565,0.5947638,0.7682009,0,0.0016465,0,0.0349324,0.0005845,0.0305014,0.8439717,0,0.6621617,0.2171091,0,0.0191137,0.0296037,0.5326953,0,0,0,0.7180093
"3226",0.4584964,0.005668,0,0,0.1041811,0.6443879,0.0466364,0.557129,0.1573535,0,0.7611747,0,0.4016678,0.5496975,0.0414772,0.6693215,0,0,0.041479,0.6013183,0,0.0345584,0.6758545,0,0,0.0971353,0,0,0.6677072,0,0,0.5336464,0,0,0.371908,0,0.0017644,0.0616114,0.5261433,0,0,0.3579322,0.0237738,0.0151825,0.0136083,0.6237063,0.7603932,0,0,0.592113
"3228",0,0.007469,0.7202721,0.5688137,0,0.7569576,0,0.4344069,0.191349,0.0416818,0.7129483,0,0.480622,0.5634096,0,0.631622,0.6780972,0.711192,0.03948,0,0,0.0247744,0.6083145,0,0,0.0958425,0,0.1271068,0.6592245,0,0.5278207,0,0,0.0002062,0.4386352,0.0218137,0.0010107,0.0517761,0.7103916,0.5928674,0,0.4089443,0,0.0270862,0,0.6886442,0.6045514,0.0006526,0,0
"3230",0,0,0,0.7351596,0.2107527,0,0.2061492,0,0.1770157,0.0480645,0.7670083,0.150514,0,0.5500345,0.0863867,0.6253168,0,0,0.0531297,0.745381,0.0270186,0.011303,0.7026774,0,0.1121641,0.1463472,0.542721,0.1923085,0.5578596,0.3551966,0,0,0.0596832,0,0,0,0,0,0.6434094,0,0,0.4173095,0,0.0147724,0.0536051,0,0.6579354,0.0003467,0.1053143,0
"3232",0.401577,0.0077565,0.7375347,0.6572266,0.2368669,0.530976,0.1745825,0.5512699,0.1732412,0.0629844,0,0.1189142,0.679214,0,0.0663524,0,0.6538621,0.5300189,0,0,0.016591,0.0364276,0,0.2569536,0,0,0,0.0709502,0,0.3042884,0.7474116,0,0.0533257,0,0,0.0388229,0,0.0573327,0.6628248,0.6624675,0,0,0,0,0.0823997,0.7095084,0,0.010258,0.0921476,0
