"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"1849",0.4167049,0,0,0.7077441,0,0.6193614,0.2062913,0.6425118,0,0.0831123,0.6862274,0,0.4664127,0.6325591,0,0.503144,0.6286293,0.6425829,0.0368419,0,0.0282086,0.0261743,0.6149647,0,0.0880929,0.0996525,0.5230531,0.1578259,0.6372867,0.3556864,0.6176357,0.7406149,0,2.15e-05,0.2972324,0.0110581,0,0.0909723,0.6546448,0.7419929,0,0.437185,0.0671052,0.0185122,0,0.6262068,0.6331397,0.0006885,0.0801662,0.8509365
"1851",0,0.012869,0,0.7364206,0.2575398,0,0.2223294,0.5865663,0.1741119,0.0049685,0.6581518,0,0.6109093,0.5641033,0.045002,0.6376587,0,0.7144708,0.0061706,0,0.0246081,0.021103,0,0.5016977,0.0311097,0,0.5750873,0,0.6244611,0,0,0.6500321,0.0241957,6.37e-05,0,0,0.0002508,0.0747417,0.6734543,0,0.6806576,0,0.0458759,0,0,0,0.6417842,0.0032655,0.0797905,0
"1853",0.4238647,0.0069314,0.792064,0.6556034,0.2414004,0.7454089,0,0,0.1944386,0.006525,0.8042277,0.1117486,0.6216838,0,0.0674788,0,0,0.6807297,0,0.6805274,0.0122442,0,0.5883273,0.5051111,0,0.0841303,0.5339464,0.1247023,0,0,0,0.5831973,0.0288341,0.0003276,0.2030493,0.0133668,2.8e-05,0.0604303,0.6817234,0.5226374,0.6298737,0.4329878,0,0,0.0401228,0.5562779,0,0,0.0819935,0.406753
"1855",0,0,0.7028333,0.655432,0.2686358,0.6209641,0.2175499,0.5856958,0.1355751,0.0029629,0,0.0807322,0.5696721,0.620996,0.0523903,0.4917799,0.0858543,0,0,0.6672614,0.0176018,0.0286551,0.6838806,0.6704587,0,0.0446252,0.4983174,0.054064,0.6533045,0.3464223,0,0.6544084,0,0.001785,0,0.0094939,0.0010619,0.0590068,0.6989907,0,0,0.4267465,0.0625674,0,0,0.716755,0.6132151,0.0025273,0,0
"1857",0.3880172,0.00122,0.6017651,0.7205751,0.318727,0.6563009,0.2047565,0.5763171,0.1607525,0,0.7044171,0.1262907,0.5590223,0.6368293,0.057147,0.7025489,0,0.6328904,0,0.6055066,0.0163464,0.0108529,0.6569786,0.638032,0,0,0.4842975,0.0513923,0.6662185,0.4835344,0.6652766,0,0,0.001815,0.2061354,0,0.0001179,0.0458016,0,0.5985703,0.6161711,0,0.0297293,0.0152785,0.0212026,0.519591,0.6574481,0,0.0978306,0.3315695
"1859",0.3892371,0.0027992,0.6247439,0.7010671,0.3374279,0.5853165,0.1961632,0,0.1456071,0,0.5272074,0.1333399,0.6063407,0.6281757,0.079868,0.6034678,0.0774742,0.6323643,0,0.6812339,0.0375407,0.0037564,0,0.6049397,0.0038101,0.0672887,0.5276648,0.0322971,0,0.3373943,0.6123473,0.793288,0,0.0004199,0,0,0.000166,0.0656244,0.8223853,0.6418833,0.5165596,0.4800827,0.0431673,0.0166945,0.0447327,0.6318558,0.6667936,0,0.1547645,0
"1861",0,0.0173583,0.711872,0.6704153,0.228524,0.6215436,0,0,0.1770471,0,0.67945,0,0.5612388,0.6022813,0.0742139,0,0.6488824,0,0.0266036,0,0,0.0412092,0.6498287,0.2727441,0.1275718,0.1237717,0.5323032,0,0,0,0,0.66298,0.0473291,0,0.3098755,0,0.0001817,0.0386915,0,0,0.6780211,0.3663438,0,0,0,0.5858923,0.6195977,0,0.1443218,0.7113211
"1863",0.3897639,0,0.6690692,0.6815533,0.2855018,0,0.2613008,0.5627668,0,0.0393057,0.6725005,0.1257027,0.4452471,0.5603252,0.0335756,0.6290416,0.6854984,0.6125368,0.0278707,0,0.0132567,0.0256993,0.5675079,0.1713715,0.185879,0.1004984,0,0.1517072,0.5996687,0.4261961,0.5927732,0.6074264,0.0326256,0.0005518,0.2618303,0.0412618,0.0003542,0,0.699545,0,0,0.3677256,0.0232583,0,0.049197,0.5692028,0.6908481,0.0041183,0,0
"1865",0.4002519,0,0.6680196,0.5184238,0.2729513,0.5955819,0.2530461,0.5774533,0.1544999,0.0446806,0.6282409,0.1016847,0.5649811,0.4764954,0.0583947,0,0.6322837,0.6124922,0,0.6480034,0.02857,0.0431822,0.5808714,0.23711,0.1384947,0.1154038,0,0.1704719,0.6152353,0.3698372,0.733077,0.6459396,0.0574501,0.0002359,0.4138616,0.063646,0,0.0606516,0.6687035,0.6424964,0,0.5609808,0,0.0112635,0.0824204,0.6336835,0.7163278,0,0.0636811,0.6219958
"1867",0.419805,0,0.8002384,0.5822046,0,0.6231465,0.2392683,0.5750562,0.1904817,0.0383292,0.7541789,0.1340107,0,0,0.075052,0.5693822,0.6303988,0,0.0280339,0.5899572,0.0190416,0,0,0.2126149,0.1205415,0.1075751,0,0.1466191,0.6129804,0.3530277,0.7295034,0,0.0464233,2.28e-05,0.4279615,0,0.0003476,0.080056,0.611802,0.690433,0.6285935,0,0.0445281,0.0178536,0.0388096,0,0.7343738,0.0009314,0,0.6513454
