"G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50"
"3361",0.0189402,0.5129263,0.526707,0.4804508,0.0193494,0.2319236,0.0435871,0.2017978,0.0313703,0.3219225,0.7072182,0.4200841,0.5451491,0.0373835,0.0278366,0.4741358,0.6188925,0.7624788,0.0035889,0.4731837,0.0145362,0.6652127,0.6006584,0.6591567,0.2402677,0.6540921,0.4943345,0.2538843,0.6037818,0.0157077,0.4719342,0.1722056,0.6605761,0.2022485,0.2004543,0.0153227,0.00527,0.7309459,0.8014094,0.0330316,0.0248554,0.6390177,0.0762532,0.1139312,0.5245687,0.6077081,0.0633711,0.7902266,0.0168072,0.1654325
"3371",0.0189283,0.5758285,0.4966295,0.4457327,0.0161523,0.1785306,0.0173786,0.1033675,0.024123,0.4472211,0.5437826,0.4086405,0.6994233,0.0381111,0.0241419,0.5107835,0.5238909,0.5263134,0.0028522,0.5488289,0.027912,0.5243456,0.4768184,0.5864833,0.232887,0.4425841,0.4642551,0.232483,0.6019434,0.0035973,0.5617244,0.2456469,0.0253119,0.171977,0.2122222,0.0258089,0.6880973,0.134395,0.5785356,0.0012781,0.3406441,0.6624837,0.0484445,0.1300432,0.1082024,0.6174715,0.1374164,0.670557,0.0035709,0.3204315
"4075",0.0081125,0.5855733,0.5984717,0.4804897,0.0118249,0.2025865,0.0213944,0.2224149,0.0264569,0.3730495,0.6864326,0.4386146,0.7135661,0.0180965,0.0383658,0.4975291,0.6682552,0.5098363,0.0029997,0.6777261,0.0416893,0.7042556,0.5455853,0.6637749,0.2424293,0.5548087,0.4903117,0.2487481,0.5446636,0.017287,0.3706334,0.2195519,0.6680964,0.149108,0.1959907,0.0089816,0.0038644,0.6994624,0.6954628,0.0365864,0.0178883,0.6132907,0.0681027,0.137048,0.5580163,0.4864696,0.0508548,0.7274937,0.0208283,0.1889875
"4085",0.0147937,0.5675006,0.710308,0.4915711,0.0310747,0.2242095,0.0428032,0.0088752,0.0598481,0.5589263,0.3127556,0.3511274,0.5958958,0.0394017,0,0.35398,0.4445875,0.5685754,0.0010028,0.5992484,0.0316431,0.591011,0.5674386,0.5568195,0.252372,0.5847507,0.5436859,0.1678751,0.6084059,0.0007399,0.4856132,0.008038,0.6155733,0.1463829,0.1458444,0.049434,0.0075822,0.0347555,0.73128,0.0265433,0.6042978,0.685211,0.0722412,0.5544876,0.0342059,0.5499257,0.006244,0.6411057,0.036608,0.4822521
"7603",0.0263543,0.6660024,0.4690354,0.5382154,0.0140946,0.1749359,0.0289764,0.1597837,0.0161944,0.3337468,0.6346356,0.3863422,0.5173395,0.0272356,0.0264045,0.4820688,0.6422755,0.62034,0.0003268,0.6596054,0.0352674,0.588435,0.645892,0.4867657,0.2030174,0.5557887,0.5014998,0.3260529,0.6160698,0.0113253,0.4153255,0.1911645,0.7160578,0.1720697,0.2383839,0.0138494,0.0062623,0.6783359,0.6482707,0.0276631,0.0328283,0.6037754,0.067825,0.1769037,0.4796104,0.5968368,0.0499489,0.7542469,0.0152707,0.1937401
"7613",0.002664,0.5521856,0.5681141,0.2856046,0.0729845,0.2277356,0.1627251,0.0090682,0.01652,0.5432373,0.6694932,0.2153982,0.6396169,0.0192287,0.0133613,0.5639224,0.2255057,0.5465081,5.9e-06,0.2331044,0.0312261,0.632967,0.6560293,0.606495,0.2092146,0.6278772,0.3841639,0.1348783,0.624066,0.0018394,0.4450541,0.2021147,0.639892,0.1557196,0.2197362,0.0203502,0.0043121,0.6030871,0.5828732,0.0223322,0.0133207,0.6226311,0.0013079,0.1274736,0.5535792,0.6201373,0.0637224,0.6666375,0.0320227,0.0068384
"11404",0.0176527,0.7463596,0.5209918,0.4650213,0.0131722,0.1654768,0.0249139,0.1152247,0.0406347,0.3160702,0.6613259,0.340943,0.6125022,0.0221391,0.0205935,0.5406019,0.6243504,0.5043969,0.0024501,0.5945822,0.0365114,0.6440825,0.5764656,0.606906,0.2306367,0.6411866,0.491397,0.2956089,0.5195461,0.0124278,0.3485205,0.2104034,0.6107232,0.1747777,0.2215314,0.0117052,0.0356413,0.7856168,0.7533337,0.0436478,0.0315865,0.4748597,0.0658378,0.1296419,0.4588072,0.5837756,0.0593097,0.6946079,0.0132048,0.1764424
"11414",0.0203837,0.6266883,0.577248,0.5718209,0.0118205,0.2241141,0.0245778,0.1289927,0.0242018,0.4241915,0.6698413,0.4053629,0.7424035,0.0002553,0.0171129,0.6112633,0.6981992,0.19115,0.0144952,0.1156792,0,0.7087685,0.2753651,0.5067817,0.547252,0.5668218,0.4948262,0.0374995,0.488591,0.0367657,0.0286816,0.0812221,0.2828796,0.6677125,0.5767288,0.0005093,0.017203,0.6633397,0.6031812,0.0202508,0.0120964,0.1414119,0.080253,0.0946962,0.5144594,0.6854719,0.080069,0.6290148,0.0207356,0.0008448
"18502",0.015158,0.6423899,0.6337627,0.4806889,0.0126826,0.2054877,0.0321832,0.1965298,0.0310653,0.2840274,0.5756219,0.3971738,0.5156193,0.0787931,0.018966,0.5931595,0.6598088,0.5691867,0.0017137,0.6715818,0.0309713,0.5837246,0.5583367,0.6457185,0.1936348,0.5942528,0.4741955,0.2814364,0.5168516,0.0247307,0.4073829,0.1739558,0.663385,0.1509941,0.2515322,0.0327592,0.0164032,0.6598297,0.6998647,0.0315313,0.029541,0.64397,0.082811,0.158292,0.5127366,0.5515024,0.0734417,0.675558,0.0223057,0.1893796
"18512",0.0001222,0.505903,0.5404637,0.0615794,0.3720942,0.2081604,0.4871053,0.120867,0.0352933,0.4786409,0.6416933,0.0923182,0.6663796,0.5374425,0.0103108,0.3344834,0.0028068,0.5571755,0.0002875,0.6587256,0.0527925,0.6264639,0.272568,0.508302,0.2207577,0.706059,0.5959936,0.4370297,0.597674,0.0173693,0.5835183,0.1717941,0.483823,0.184067,0.4033715,0.0488767,0.0199459,0.7092557,0.5683204,0.0191652,0.0003529,0.7163466,0.0004621,0.0021749,0.476706,0.8188591,0.0497652,0.5638227,0.0329964,0
